X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
0.000619228,6.53826e-05,9.6892e-06,1.29379e-10,8.11159e-17,88,3352,3352,0.00024052,-8.16992e-07,-1.60643e-07
2.03318e-05,5.95375e-05,2.04297e-05,1.29134e-10,8.11165e-17,2,3388,3388,0.000261555,-1.46138e-06,-7.71007e-07
0.000221529,7.9196e-05,1.27252e-05,1.29282e-10,8.11162e-17,31,3429,3429,0.000265369,7.08365e-05,2.50524e-06
0.000260647,8.4648e-05,1.82864e-05,1.29258e-10,8.11161e-17,37,3533,3533,0.000259776,7.00846e-05,1.75713e-06
0.000258348,3.85428e-05,2.09794e-05,1.29346e-10,8.11159e-17,36,3544,3544,9.10103e-05,-2.38035e-05,2.48954e-07
0.000105783,6.574e-05,2.49005e-05,1.29219e-10,8.11162e-17,14,3760,3760,0.000213673,-2.32373e-06,8.5487e-07
4.73669e-05,6.32485e-05,2.07653e-05,1.29285e-10,8.11161e-17,6,3786,3786,0.000274607,-2.66777e-06,3.49286e-07
0.000346852,0.000108872,2.24527e-05,1.29125e-10,8.11165e-17,49,3972,3972,0.000235067,6.3906e-05,1.96846e-06
0.00025881,9.38476e-05,1.13614e-05,1.29356e-10,8.11161e-17,37,3996,3996,0.000219515,6.03213e-05,6.78895e-07
0.000679028,5.55706e-05,2.43702e-05,1.29221e-10,8.11161e-17,98,4105,4105,0.000150435,-1.47339e-06,-1.61685e-06
0.000576049,6.72882e-05,2.20572e-05,1.29283e-10,8.11163e-17,83,4356,4356,0.000248542,-4.34215e-06,2.12501e-06
4.42853e-05,5.30875e-05,1.85924e-05,1.2944e-10,8.1116e-17,6,4441,4441,0.000160432,-1.5378e-06,-1.83154e-07
0.000566993,7.37029e-05,1.97816e-05,1.29335e-10,8.11162e-17,81,4543,4543,0.000182089,-1.45924e-05,4.1486e-07
0.000526685,7.52092e-05,1.90696e-05,1.29208e-10,8.11163e-17,75,4568,4568,0.000256247,-8.80013e-05,-2.43759e-07
0.00046646,9.99434e-05,1.11338e-05,1.29635e-10,8.11157e-17,67,4599,4599,0.000130496,-3.25904e-05,-2.23838e-06
